Latitude,Longitude,Average_distance_Y,Average_review_count_Y,Average_rating_Y,Max_rating_Y,Max_review_count,Min_rating_Y,Min_review_count
45.516926210319546,-73.56425732374191,768.1256480545376,50.32,4.67,5.0,503,4.5,3
45.55321884238814,-73.53978216648102,591.0429035851542,17.66,4.24,5.0,159,3.5,1
45.52689,-73.57264,818.062410368811,19.92,4.61,5.0,97,4.5,3
45.5534000891078,-73.66225451231003,716.837298714675,5.770833333333333,3.4270833333333335,4.5,29,2.0,1
45.55984236120471,-73.61544728279114,807.769746594628,7.0,3.1538461538461537,5.0,28,1.0,1
45.5457759528664,-73.56217458844185,863.8331278456791,11.152173913043478,3.7065217391304346,5.0,85,1.0,1
45.55988367688166,-73.63356828689575,955.2425440010926,4.0,3.0,3.0,4,3.0,4
45.5616903,-73.610512,710.3433024370471,6.612903225806452,3.225806451612903,5.0,31,1.0,1
45.53830765459552,-73.6548838019371,821.7858716284333,8.5,4.01,5.0,46,3.0,1
45.55675103297278,-73.66716161370277,686.7829382706727,5.055555555555555,3.4722222222222223,5.0,13,2.0,1
45.52783154456306,-73.5719096660614,829.4783516047237,63.0,4.6,5.0,1270,4.5,3
45.53519006163501,-73.61548215150833,537.552859561364,25.12,4.7,5.0,270,4.5,3
45.53330725719417,-73.62082242965698,706.6360983477229,25.74,4.7,5.0,270,4.5,3
45.51689731423111,-73.58910799026489,815.4864850634863,21.52,4.7,5.0,134,4.5,3
45.51586835126322,-73.56008380651474,700.2489342735712,58.04,4.64,5.0,503,4.5,3
45.55969734528566,-73.60145956277847,724.2314771395168,5.84,3.4,5.0,31,1.0,1
45.55463653358596,-73.61255215771962,851.069841633217,7.4,3.91,5.0,31,2.0,1
45.55774990838239,-73.58380123972893,867.1113142869194,6.06,3.91,5.0,47,1.0,1
45.54365380040509,-73.55942063033581,759.9244039136805,16.257142857142856,3.742857142857143,5.0,159,1.0,1
45.54710313981358,-73.54892447590828,594.5275713784713,19.66,4.26,5.0,159,3.5,1
45.51601387670667,-73.56291957199574,757.0973293180116,49.96,4.66,5.0,503,4.5,3
45.529668174024685,-73.60166944563389,866.9906163232642,28.8,4.68,5.0,433,4.5,3
45.55970526805903,-73.55155438184738,970.673930900242,25.05263157894737,3.763157894736842,5.0,159,1.5,1
45.53946063965585,-73.57605636119843,756.1168023327581,17.2,4.59,5.0,85,4.0,1
45.5121682576952,-73.55481594800949,830.0082023805383,60.32,4.63,5.0,503,4.5,3
45.526991277453526,-73.55821162462234,822.3218900617727,41.78,4.54,5.0,602,4.0,1
45.52097057660443,-73.5499919950962,735.5846297838807,51.04,4.48,5.0,602,4.0,1
45.50206,-73.56295,695.7127107285452,40.08,4.66,5.0,503,4.5,3
45.50038,-73.57507,610.0957900102212,21.1,4.6,5.0,168,4.5,3
45.50631445605528,-73.55967122894072,645.0244965776573,39.86,4.66,5.0,503,4.5,3
45.50928678961862,-73.57101917266846,792.9606961554217,34.36,4.69,5.0,503,4.5,3
45.52723106564012,-73.58672618865965,852.3444384738522,17.76,4.67,5.0,70,4.5,4
45.53370598779895,-73.55217933654784,717.407068374527,10.957446808510639,3.5638297872340425,5.0,85,1.0,1
