Station Name,Latitude,Longitude,Number of Bikes
Ste-Catherine / Towers,45.49228068089086,-73.58096480369566,0
Viger / Chenneville,45.50531166520915,-73.56089115142822,14
Métro Viau ( Pierre-de-Coubertin / Viau),45.56221872617909,-73.54626774787903,16
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,12
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,5
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,21
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.51401222645779,-73.56598667800426,7
Métro Joliette  (Hochelaga / Joliette),45.54699194653282,-73.55115339159964,7
Ottawa / du Séminaire,45.4912954250061,-73.56159925460815,8
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.51487490356938,-73.58486406505108,14
Clark / Ontario,45.51059890498207,-73.56692545115948,13
Ste-Émilie / Sir-Georges-Etienne-Cartier,45.472636238971525,-73.58546018600464,9
Parc St-Henri (Laporte / Guay),45.4801160762769,-73.58560770750046,10
de Maisonneuve / Mansfield (nord),45.502386079583346,-73.57333794236183,9
de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,22
Milton / St-Laurent,45.512903912221326,-73.57059180741999,7
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,30
de Bleury / de Maisonneuve,45.50710632433956,-73.56861054897308,18
Ste-Catherine / Drummond,45.498488900657,-73.57436656951904,13
de la Montagne / Notre-Dame,45.492913379064625,-73.5646878182888,8
Jeanne-Mance / René-Lévesque,45.5063713381299,-73.5642009973526,9
Cathcart / McGill College,45.501187681489775,-73.57045487814501,16
de la Côte St-Paul / St-Ambroise,45.467665653865964,-73.59391784324544,8
Marmier / St-Denis,45.53102667048665,-73.59862312674522,21
Jacques-Casault / Christophe-Colomb,45.551961779348346,-73.6303174495697,13
des Carrières / Marquette,45.53857953787113,-73.58848571777344,8
du Havre / Hochelaga,45.53579541676834,-73.55795860291892,1
St-Hubert / du Mont-Royal,45.525710872858475,-73.58128398656845,1
Garnier / Beaubien,45.54144823434163,-73.59839379787445,3
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788,7
Hamel / Sauriol,45.56157008176612,-73.65338176488876,8
Parc Henri-Julien (Legendre/Henri-Julien),45.546128338386644,-73.64650368695946,12
Ontario / Ville-Marie,45.56001959585449,-73.534934520776,5
Place d'Youville / McGill,45.49996470926352,-73.55615437030792,17
Ball / Bloomfield,45.529996997063385,-73.63287091255188,7
Parc Villeray (Christophe-Colomb / Jarry),45.548513207676116,-73.62365484237671,2
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,0
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,10
St-Jacques / McGill,45.50114344835097,-73.56077313423157,11
Robert-Bourassa / St-Maurice,45.49837045828952,-73.56055587530136,6
St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532,5
Complexe sportif Claude-Robillard (Émile-Journault),45.55358456339093,-73.6383855342865,13
Villeray / de Normanville,45.54718706660108,-73.6184298992157,9
du Square Dorchester / Peel,45.49969963056761,-73.57193648815155,2
15e avenue / Laurier,45.55331992800521,-73.56932803988457,0
de la Commune / Berri,45.51086,-73.54983,11
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,12
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,5
St-Jacques / des Seigneurs,45.489185716082275,-73.57190027832984,8
Richmond / des Bassins,45.48752158511353,-73.56500297784805,13
Métro Champ-de-Mars (Viger / Sanguinet),45.51025293429709,-73.55677664279938,12
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,20
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,0
St-Jacques / Guy,45.491366875439965,-73.57010722160338,5
Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,1
Métro Mont-Royal (Utilités publiques / Rivard),45.52423612093815,-73.58155220746994,4
St-Viateur / Casgrain,45.527070404438426,-73.59791234135628,6
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,26
Atwater / Greene,45.480495143306044,-73.57782661914825,5
Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417,0
de la Commune / King,45.49750375338383,-73.55284452438353,23
Smith / Peel,45.49276061084002,-73.55641052126883,8
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,5
Ottawa / William,45.48972725318433,-73.56406286358833,6
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,0
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434,0
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,11
Complexe Desjardins (St-Urbain / René-Lévesque),45.50788520688478,-73.56315059590997,31
de Maisonneuve / Mackay,45.496496027653734,-73.57870370149612,17
du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,0
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,15
