Average_rating_F,Average_popularity_F,Average_dist_F,Average_rating_Y,Average_review_count_Y,Average_distance_Y,Number of Bikes
,0.7960440397489045,718.921052631579,3.6,6.36,748.1314082616329,8
,0.94045370643587,702.5869565217391,4.44,53.72,846.2489628049786,9
,0.9184359052137536,713.8,4.61,62.04,775.3661203350225,7
,0.8956330389418449,658.86,4.49,54.48,690.3710215374253,9
,0.9104357843245352,85443.54545454546,3.989130434782609,19.043478260869566,848.1684168613959,22
8.668000000000001,0.9293189749298852,670.1,4.66,16.4,727.0128793660723,0
,0.8811917046679084,911.9166666666666,3.8461538461538463,12.846153846153848,980.063327675318,9
8.766000000000002,0.9620233074282618,598.36,4.65,20.9,575.584587717359,3
,0.927463968061134,659.32,4.58,55.26,751.3097433484728,9
,0.8617872834404982,644.8095238095239,4.44,33.92,943.0859396982772,9
,0.8373326645522585,652.4857142857143,4.45,10.68,773.6039524052471,5
7.9875,0.9568326857065376,618.375,4.71,16.8,723.9103104164896,3
8.776,0.9345807731557804,620.88,4.66,16.36,561.3247141342681,1
,0.8655610426414768,741.5277777777778,3.673469387755102,5.63265306122449,860.72904675517,4
,0.9122613375326984,696.5555555555555,3.95,10.08,864.6318000948428,6
,0.7175424198524673,709.4333333333333,3.7058823529411766,5.911764705882353,567.2634395671104,13
8.702000000000002,0.954869653956768,714.78,4.65,38.16,753.5186238727953,3
,0.883588738662212,62709.63888888889,4.44,61.74,690.8765212035415,4
8.824,0.94846003982102,641.2,4.63,49.78,807.7803383596589,19
,0.8691561412150932,91599.0,3.725,24.35,869.5672795483275,10
8.408000000000001,0.9547737409635546,776.82,4.53,68.62,833.8056026518091,5
,0.9456565988155188,739.1111111111111,4.66,18.92,899.2030569307004,7
,0.9324547514506252,794.8260869565217,3.7205882352941178,5.088235294117647,827.9290906780172,12
,0.872252313972325,786.28,4.64,17.12,814.1687097817899,5
8.786000000000001,0.9665771764185344,598.74,4.63,31.96,684.2879230155039,16
8.568,0.952016527864009,744.78,4.7,29.22,768.8200211365485,12
,0.7950549033258342,79951.17021276595,4.035714285714286,18.071428571428573,912.8695264042886,4
8.876000000000003,0.9786178252585152,680.66,4.61,37.48,817.6150831649315,17
,0.8328495395448323,950.970588235294,4.13,14.5,826.528897119809,1
8.376923076923077,0.9704120053731476,656.6153846153846,4.45,48.5,769.5151590100926,13
,0.9494668407944225,586.82,4.58,87.36,731.7044225448649,8
,0.959176643006312,674.0909090909091,4.53,18.1,708.1977619396147,9
,0.9449642110371304,698.84375,4.46,27.9,846.3197192705484,1
,0.9368883737099716,759.8571428571429,4.59,49.84,934.3690757058356,16
,0.8745050378717912,737.4186046511628,4.51,74.1,884.0245990907762,0
,0.8062470382110818,793.2765957446809,4.63,31.5,876.7070472677768,6
,0.8155348827973136,720.8260869565217,4.29,18.94,573.9954056498308,8
,0.8672042485012149,604.2702702702703,4.25,23.4,839.7430214394689,9
,0.7674937735054628,660.8,4.36,18.68,487.4220538924818,9
8.712,0.9487905971012012,673.1,4.65,59.66,735.8597316690166,15
,0.8828335594269354,621.0909090909091,3.72,6.3,708.2459705218665,5
,0.8932274701826607,639.3142857142857,4.59,55.84,779.986381529535,0
,0.911801009084616,778.82,4.59,47.3,992.0354642752848,1
,0.898097868362271,695.18,4.42,9.64,820.2650262605731,10
8.62,0.9615330378870596,564.3,4.72,21.36,631.701647943594,3
,0.9520001753511356,688.0,4.33,13.1,770.1207381411951,1
,0.8531281317254041,690.2857142857143,4.3,12.88,939.5054548546397,2
8.698000000000002,0.9399282079827586,741.58,4.63,25.42,767.6745857070949,0
,0.8030708922666635,664.560975609756,4.56,76.86,850.7278290272319,16
8.581999999999999,0.9762414095784536,464.46,4.6,17.76,609.288694543164,2
8.661999999999997,0.971514982836998,669.8,4.6,21.12,790.497172408534,0
8.408000000000005,0.9630248911878296,636.26,4.58,36.06,606.5780253813912,0
8.916000000000004,0.9622245534408072,612.62,4.66,40.44,643.9893779211608,14
,0.7741928629399342,1163.75,3.555555555555556,7.888888888888889,847.1432194044455,16
8.657999999999998,0.9740857936015186,552.84,4.63,21.56,749.1526409126367,12
8.781999999999998,0.9816386563617292,616.46,4.65,34.34,736.7401877776102,5
8.811999999999998,0.96774069237192,628.3,4.66,33.82,737.7976643101747,21
8.733999999999998,0.9459912793394568,645.38,4.68,38.42,751.4084473414476,7
,0.7928345001320232,734.58,4.27,21.28,703.2407279850643,7
,0.9525685628037422,674.85,4.48,49.78,835.2462860148215,8
,0.9381864308805584,720.3125,4.68,22.1,858.549476117862,14
8.8,0.9480772442141776,623.44,4.65,45.9,800.9456843578175,13
,0.9681192775125422,638.6,4.32,48.44,813.2994573914617,9
8.152000000000001,0.9397285595287324,722.3,4.35,72.8,657.5721226079384,10
8.786000000000001,0.9665771764185344,600.3,4.63,32.34,679.1541627300369,9
8.786000000000001,0.9665771764185344,598.64,4.63,32.38,682.3146967809756,22
8.754000000000001,0.9479179601361624,656.3,4.68,37.76,757.9629881812674,7
8.776,0.9684491925182158,636.9,4.63,29.56,714.2209870011241,30
8.796,0.956194309447858,611.0,4.63,39.84,781.6517952729295,18
8.635999999999997,0.9754311446045374,446.5,4.6,21.04,616.2435626425447,13
8.472000000000001,0.972668936036595,769.0,4.62,61.06,902.0927722460884,8
,0.8753138224610528,683.8,4.63,42.44,747.4678210503007,9
8.778,0.9673808759197016,580.88,4.64,20.98,747.4617387811501,16
,0.8083986397373535,680.1190476190476,4.26,22.78,960.4836327744738,8
8.424,0.95225374124901,764.2,4.59,31.24,830.2464905555042,21
,0.8289499287551052,797.3333333333334,3.612244897959184,8.551020408163266,891.763793049259,13
8.03142857142857,0.9409586609697936,813.4285714285714,4.48,24.84,853.7503215833457,8
,0.867181951109764,758.4473684210526,4.07,11.16,818.3758820296957,1
,0.951442191726077,659.58,4.66,18.58,687.1617355873865,1
,0.8988844092127576,760.6585365853658,4.53,23.48,775.004597793139,3
,0.8928952288262056,722.8108108108108,4.32,38.16,837.6912481689781,7
,0.8212807285616818,658.953488372093,3.7916666666666665,5.305555555555555,614.2509370095325,8
,0.8911171396559653,639.0714285714286,3.941860465116279,6.162790697674419,735.17618086957,12
,0.947177084597068,902.3333333333334,3.7222222222222223,14.833333333333334,857.7021834441125,5
8.655999999999999,0.971549522932768,629.46,4.62,53.68,538.5005053326838,17
,0.8918118325994752,610.75,4.0,22.56,763.091530761131,7
,0.8455770138000956,813.936170212766,4.54,13.4,858.5688700391537,2
8.840000000000002,0.9508561519193304,575.48,4.63,51.74,679.097952513718,0
8.464,0.9451343424179494,635.66,4.64,58.42,698.0249204431867,10
8.870000000000003,0.9635228043132296,707.52,4.64,40.78,564.9782581423036,11
8.758000000000001,0.9715762130067724,715.76,4.61,47.98,616.8511923846926,6
8.912000000000004,0.9500042104662196,656.72,4.65,39.56,592.2209231646834,5
,0.7984134800165971,799.5714285714286,3.7413793103448274,9.172413793103448,1051.0975931018324,13
,0.8670804341775675,748.96,4.55,15.8,885.6218201285056,9
8.716,0.97382688561091,522.74,4.62,22.52,702.2895474531073,2
